value,,necessity,necessity,necessity,necessity,necessity,necessity,sufficiency,sufficiency,sufficiency,sufficiency,sufficiency,sufficiency,necessity_mask,necessity_mask,necessity_mask,necessity_mask,necessity_mask,necessity_mask,sufficiency_mask,sufficiency_mask,sufficiency_mask,sufficiency_mask,sufficiency_mask,sufficiency_mask,prediction,prediction,prediction,prediction,prediction,prediction,score,score,score,score,score,score
Dataset,,CAD_abuse,Davidson_abuse,Founta_abuse,CAD_hate,Davidson_hate,Founta_hate,CAD_abuse,Davidson_abuse,Founta_abuse,CAD_hate,Davidson_hate,Founta_hate,CAD_abuse,Davidson_abuse,Founta_abuse,CAD_hate,Davidson_hate,Founta_hate,CAD_abuse,Davidson_abuse,Founta_abuse,CAD_hate,Davidson_hate,Founta_hate,CAD_abuse,Davidson_abuse,Founta_abuse,CAD_hate,Davidson_hate,Founta_hate,CAD_abuse,Davidson_abuse,Founta_abuse,CAD_hate,Davidson_hate,Founta_hate
target,text,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
women,I hate women.,0.9215686274509803,0.8529411764705882,0.3137254901960784,,,0.3627450980392157,0.7163019607843135,0.6134745098039215,0.3077490196078431,,,0.40136862745098023,0.9057741424470556,0.25860923061183855,0.05353041314611248,,,0.25248648554963227,0.9169384866339642,0.8812440506731829,0.7463443000673788,,,0.7600825629726,1,1,1,0,0,1,0.991382896900177,0.987005352973938,0.9894124865531921,0.47758516669273376,0.08317472785711288,0.9901851415634155
Muslims,I hate Muslims.,0.8857142857142857,0.8,0.3142857142857143,0.9714285714285714,0.8666666666666667,0.34285714285714286,0.9413999999999999,0.3772,0.8651999999999999,0.9448000000000001,0.8362000000000003,0.8797999999999999,0.899893398387801,0.2105486478124346,0.06385307425544376,0.9449301444881019,0.7992441974580288,0.2858358512322108,0.9495525672710733,0.6775562135084069,0.9563230587718077,0.9596583253626945,0.9592992419600018,0.9101917532472874,1,1,1,1,1,1,0.9952994585037231,0.9382812976837158,0.9915614724159241,0.9907100796699524,0.9935386776924133,0.9876922965049744
women,I really can't stand women like you.,0.7128712871287128,0.8613861386138614,,,,,0.6864000000000001,0.4022,,,,,0.5237094524620783,0.6212259938590007,,,,,0.8377791855163175,0.8293266756041442,,,,,1,1,0,0,0,0,0.9901372194290161,0.848061740398407,0.03734458237886429,0.25074973702430725,0.007252646144479513,0.013681740500032902
Muslims,I really can't stand Muslims like you.,0.7419354838709677,0.8817204301075269,0.9247311827956989,1.0,0.9139784946236559,0.946236559139785,0.9217960396039603,0.4123485148514851,0.816388118811881,0.8856910891089109,0.8474871287128717,0.7322752475247524,0.5462738264712595,0.43257926423002474,0.657642729700573,0.978912613474794,0.9799030100330911,0.9241828180609211,0.9500919142103396,0.7779615453938674,0.9414405052923486,0.9402012233194906,0.9582127710031523,0.9123176167863977,1,1,1,1,1,1,0.9977662563323975,0.6962834000587463,0.8246564865112305,0.9922972321510315,0.9925171136856079,0.9617344737052917
women,I despise women.,0.8901098901098901,,0.5714285714285714,0.945054945054945,,0.8791208791208791,0.7930831683168316,,0.2619326732673267,0.6084633663366337,,0.3164336633663366,0.8421776390501431,,0.10057919497018332,0.7960487703721111,,0.9053785388286297,0.9225010280093309,,0.73483211129746,0.9335176539548722,,0.7615466167788061,1,0,1,1,0,1,0.9487159252166748,0.4506138265132904,0.9464823603630066,0.8307235836982727,0.002843136666342616,0.9755791425704956
Muslims,I despise Muslims.,0.8932038834951457,,0.7281553398058253,0.9611650485436893,,0.912621359223301,0.9298210526315788,,0.8404631578947365,0.9221684210526316,,0.8850631578947368,0.8821206638969264,,0.13566618174025155,0.9568947589712091,,0.9159786572444786,0.949862839092597,,0.9532832973351945,0.9595125742816796,,0.9062393916824002,1,0,1,1,0,1,0.9954712390899658,0.169331893324852,0.9840542674064636,0.9901617765426636,0.382503479719162,0.9888426065444946
women,I detest women.,0.8785046728971962,0.8598130841121495,,,,,0.7184093457943925,0.5720598130841121,,,,,0.8202123228356103,0.7674702123225292,,,,,0.924026140747428,0.872562987010877,,,,,1,1,0,0,0,0,0.9870680570602417,0.9718827605247498,0.052147477865219116,0.34760239720344543,0.00322934752330184,0.012029035948216915
Muslims,I detest Muslims.,0.8640776699029126,0.8058252427184466,0.7961165048543689,0.970873786407767,0.970873786407767,0.941747572815534,0.8821920792079206,0.39254653465346534,0.8262891089108908,0.8955920792079208,0.7583782178217826,0.8114831683168315,0.8323617945018323,0.4481311590926161,0.7319855598859417,0.9475788646603672,0.9838165239774559,0.9258713844476394,0.9501967381254245,0.6639336702779016,0.9544830579287501,0.9595518964007518,0.9551325056463896,0.9096892219135623,1,1,1,1,1,1,0.9968475699424744,0.6932733654975891,0.9874103665351868,0.9900820851325989,0.9898080229759216,0.9884229302406311
women,I absolutely loathe women.,0.9565217391304348,,0.7739130434782608,,,,0.6917370786516854,,0.0812674157303371,,,,0.6953529583371204,,0.3344348339282948,,,,0.9167873889054196,,0.6212060911292326,,,,1,0,1,0,0,0,0.9772462844848633,0.038951676338911057,0.9576422572135925,0.19184447824954987,0.0029033550526946783,0.012534546665847301
Muslims,I absolutely loathe Muslims.,0.9380530973451328,,0.7610619469026548,0.9823008849557522,1.0,0.9734513274336283,0.9494952380952381,,0.8994857142857141,0.9152761904761905,0.6309619047619047,0.860752380952381,0.7409284398355315,,0.28014679042111457,0.9543743188023172,0.8485545610444439,0.925898819584894,0.948897500871726,,0.9530215702701226,0.9589039143408261,0.5816567639644192,0.8978874741810198,1,0,1,1,1,1,0.9964849948883057,0.0623946338891983,0.9860888123512268,0.9887652397155762,0.8529019355773926,0.9569393396377563
women,Disgusted by all the women around here.,0.9636363636363636,0.8090909090909091,0.8,0.9818181818181818,,0.9818181818181818,0.43309811320754715,0.4555018867924528,0.1521811320754717,0.2389509433962264,,0.12130943396226414,0.6425261219963432,0.1896306111053987,0.2631486996669661,0.5462141756264662,,0.8990486808290535,0.7137841208182982,0.8809007735434016,0.7083428584552616,0.6256359173276905,,0.7264199321920773,1,1,1,1,0,1,0.8350958824157715,0.9693180322647095,0.9860424399375916,0.574317455291748,0.024674877524375916,0.9755558967590332
